Name,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
Biggie,Pit Bull / Basset Hound,Male,Young Adult,Fresno County,No,Good,Unknown,Good,High,Submissive,Yes,Yes,"we are in desperate need to find Biggie a new loving family, due to the illness of one of my children",https://post.rescueme.org/26-02-26-00217
Eaton,Poodle / Maltese,Male,Young Adult,Orange County,No,Good,Good,Good,Average,Average,Unknown,Yes,"EATON is a 5-year-old Maltese/Poodle mix weighing just 10 pounds of pure sweetness. This adorable little guy is happy, affectionate, and great with other dogs. He has a gentle, loving personality and would make the perfect companion for someone looking for a small, loyal best friend. If you're ready to add this sweet boy to your family, visit fochp.org for more information. ��ժ",https://post.rescueme.org/26-02-26-00201
SOFIA,Chihuahua mix,Female,Puppy,San Diego County,No,Unknown,Unknown,Good,Average,Unknown,Yes,Yes,SOFIA is a little Chihuahua girl 18 months old. She weighs 9 pounds. She is spayed and vaccinated and microchipped  Call 619-670-9824,https://post.rescueme.org/26-02-26-00195
Golden Boy,Australian Kelpie mix,Male,Young Adult,San Francisco County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Golden Boy is a very handsome and super sweet fostered Carolina Dog looking for is forever home. He is about 2 years old and weighs 25 pounds. He is a very quiet and affectionate dog that also enjoys the company of other dogs. He can get very attached to the human that gives him the most love and attention. He's the type of dog that will not leave your side and would love to cuddle next to you on the sofa or bed. Golden Boy is a wonderful companion, he's very friendly, and he is eager to please. He has been neutered and microchipped, and his vaccinations are up to date. The combination of his compact size, sweet personality, and great look makes him a perfect dog to adopt.",https://post.rescueme.org/26-02-26-00194
Molly,Australian Shepherd mix,Female,Puppy,San Luis Obispo County,No,Good,Unknown,Good,High,Unknown,Yes,Yes,"Professional Good Girl Seeking Full-Time Forever Home Name: Molly (1.5 Y, 50lb, Aussie mix) Position Desired: Permanent Household Companion & Adventure Buddy Availability: Immediately Qualifications �'ۢ	Fully Housetrained - Zero indoor 'surprises.' 10/10 bathroom professionalism. �'ۢ	Team Player - Collaborates well with dogs, cats, and humans of all sizes. �'ۢ	People Skills - Expert in tail wags and morale boosting. �'ۢ	Conflict Resolution - Chooses snuggles over drama every time. References �'ۢ	Foster family (will rave about me) �'ۢ	Every dog I've ever met �'ۢ	That one cat who pretends not to like anyone If you're seeking an active, loving, jovial, housetrained, socially skilled professional to join your family, please submit your application. Molly would thrive in a training-focused household with another dog buddy to learn from and play with. She is microchipped, spayed, and UTD on vaccines.  Molly is in Templeton, CA More photos and updates:  https://www.facebook.com/www.cchdrescue.org/  search in posts and photo albums. Interested in Molly?  Please complete an application at: http://bit.ly/CCHDR_App Note:  No transport or blind adoptions. Prospective adopters must have a plan in place to meet and pick up their dog from the foster location.",https://post.rescueme.org/26-02-26-00117
Zorro,Staffordshire Bull Terrier,Male,Young Adult,Los Angeles County,No,Good,Unknown,Good,Unknown,Average,Yes,Yes,"Zorro is a 30-pound survivor with a tender heart and a quiet strength. This sweet soul was pulled from a kill shelter just hours before he was scheduled to be euthanized-and now he's ready for a second chance at life with someone who sees the beauty in a shy dog learning to trust again.  Zorro may be a bit skittish at first-he likely experienced some rough handling in his past-but once he feels safe, he melts into belly rubs and even lets you pick him up. Indoors, he's calm and allows gentle affection; outside, he still prefers to keep a little distance, but never tries to run away.  He's crate trained, potty trained, and even familiar with pee pads. Zorro gets along beautifully with other dogs, big and small, and would love to have a confident canine buddy to show him the ropes. He hasn't been tested with cats, but based on his gentle demeanor, we suspect he'd be just fine.  Zorro isn't a barker-just a soft communicator who might let out a woof when he wants to go outside. He's also strong and muscular, so a home that can provide him with daily walks and gentle structure will help him thrive.  Above all, Zorro needs a patient, kind-hearted human who can give him the time and space to bloom. If you've got a calm home, a gentle touch, and a soft spot for the underdog-Zorro just might be your soulmate.  Note for Adopters:  ��%BD��%BD��%BD 30 lbs, ~young adult ��%BD��%BD��%BD Crate + potty trained ��%BD��%BD��%BD Dog-friendly (all sizes) ��%BD��%BD��%BD Not a barker-quiet and respectful ��%BD��%BD��%BD Still learning to trust-needs patience and love ��%BD��%BD��%BD Ideal home: calm, structured, preferably with another dog  Zorro may be cautious at first, but under that quiet exterior is a deeply loyal heart just waiting to feel safe and seen. ��%BD��%BD��%BD��%BD Apply today to meet Zorro and be the hero of his second chance.  Loved Again Pets ",https://post.rescueme.org/26-02-26-00110
Valerie,Chihuahua,Female,Young Adult,Los Angeles County,No,Good,Unknown,Not Good,Average,Average,Yes,Yes,"Here's what the humans have to say about me:  Meet Valerie! Referred to as Cher by her foster mom, she is an adorable tiny 8-9 pound chihuahua mix. This sweet and loving girl was aged as 6-7 by the shelter, but we think she's closer to 4 years old. Valerie was abandoned and rescued on the day she was going to be put down. The shelter said she was snappy. Poor Valerie was just terrified at the scary shelter. Naturally shy, little Valerie will need time to decompress with her new family and will let people pet her after about three or four days. Valerie should be in an adult only house since she is very timid and fearful. Once she feels trust, she will be on your lap constantly. She loves to play with other dogs, is reliably housebroken, and loves going on walks. What's not to love?  Loved Again Pets ",https://post.rescueme.org/26-02-26-00102
Siva,Anatolian Shepherd,Female,Adult,Fresno County,No,Good,Unknown,Good,High,Average,Yes,Yes,"Urgent - owner passed away. She is 5 years old, has not been trained as a livestock guardian, and was stricty a pet. Dog needs room to run or go on long daily walks, if kept in smaller environment. Dog is micro-chipped.",https://post.rescueme.org/26-02-26-00074
Luna,German Shepherd,Female,Young Adult,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,"Here's what the humans have to say about me:  f you're looking for a fun-loving sidekick who can keep up with your playful pup and melt into snuggles at night-Luna's your girl. Luna is a four-year-old, 50-pound German Shepherd with a big heart and even bigger toy drive. She's incredibly friendly, affectionate, and always up for a game of fetch or a good squeaky toy session. Luna has lived happily with both small and large dogs and would love a canine buddy to romp around with. This smart girl already knows how to sit, shake, lay down, drop her toys, and go into her crate. She's potty trained, food motivated, and eager to learn-but she's also not above a little counter surfing if snacks are left out (she says she's working on it��%BD'��%BD| but please don't tempt her!). Luna is currently thriving in a foster home with other big dogs and teenaged kids. She's more than ready to find a forever home where she can finally relax, bond deeply, and just be a dog. Note for Adopters: ��%BD��%BD��%BD 4 years old, 50 lbs ��%BD��%BD��%BD Potty trained + crate trained ��%BD��%BD��%BD Great with other dogs (small + large) ��%BD��%BD��%BD Good with teenage kids ��%BD��%BD��%BD Food motivated-no snacks on counters please! ��%BD��%BD��%BD Would thrive with continued training and structure  Loved Again Pets  ",https://post.rescueme.org/26-02-26-00070
Nala,Italian Greyhound / Jack Russell,Female,Puppy,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Here's what the humans have to say about me:  Meet Nala! She is a beautiful, super sweet, goofy, playful seven-month-old puppy who loves to zoom and leap over everything (including other dogs)! She was rescued from the streets, so she needs a home where she can be supervised indoors while being outside in a secure, puppy-proof backyard, as she loves to go under fences and through holes. We believe Nala is half Italian greyhound, so she can run really fast! Sweet Nala is full of love and will knock you down to give you kisses and stick her whole head in your shirt and her nose in your ear and just smother you with love. When she tires herself out, she will fall asleep with her head on your shoulder. She has long legs like a baby deer and is a distinguished looking little lady. Although she weighs almost 30 pounds, Nala thinks she is tiny and loves to cuddle in your lap. She is energetic and loves to play, so she would do well with another non-aggressive dog. Once she trusts the other dog, she will play nonstop. Nala is still a puppy and loves to chew on everything, so she needs plenty of chew toys to keep her busy chewing on healthy objects. The puppy in her makes her want to chase cats so she is probably best in a home with no cats. Nala is still working on her leash skills. She is crate-trained and will go potty outside if you take her regularly; she is also pee pad trained when indoors. If you are looking for a loving, enthusiastic, energetic young dog, then Nala just might be your girl!  Loved Again Pets  ",https://post.rescueme.org/26-02-26-00067
Jojo,Beagle / Cavalier,Male,Young Adult,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,Meet Jojo! He's lovable and looking for his new family. He likes following his human around the house and sitting beside you or at your feet. He's a very good listener and loves going for walks. He's potty trained to go outside but he also knows what a pee pad is! He gets along with other dogs and is very playfull! Jojo is young so he does have energy but he's not a puppy so he does have some manners. We've not seen his interaction with a cat but he's great with other dogs so I would imagine he'd be fine. Jojo barks occasionally and definitely when other dogs are barking but he's not a 'barker'  Loved Again Pets  ,https://post.rescueme.org/26-02-26-00064
Dixie,Pomeranian,Female,Young Adult,Los Angeles County,No,Good,Good,Not Good,Average,Average,Yes,Yes,"'Playful, Spunky & Looking for a Confident Pack Leader: Meet Dixie!' Ready for a little dynamo with a big personality? Meet Dixie-the 2-year-old Pomeranian who's full of energy, love, and loyalty for the right leader. Dixie is a happy, loving, and playful 12-pound Pomeranian who will fill your days with joy and laughter. At just 2 years old, she's bursting with energy and affection-always ready for playtime, cuddles, and fun. But Dixie isn't just cute-she's also a strong personality who needs an experienced dog owner to guide her. When she knows who's in charge, she thrives! Without clear boundaries, she can become a bit unpredictable. So if you have dog experience and love the idea of a smart, spirited companion, Dixie is your girl. She wants to be your one-and-only pet (no other dogs or cats, please!) so she can have all your attention. If your home includes children, they must be teenagers or older, as Dixie prefers a calm environment. She's not fully potty trained yet but does great with pee pads, and with consistency and patience, she'll keep improving. If you're ready to lead with confidence and love, Dixie will reward you with endless devotion, playtime, and plenty of Pomeranian sass. Dixie is the perfect match for someone who knows how to balance structure with snuggles. Could that be you?  Loved Again Pets ",https://post.rescueme.org/26-02-26-00062
URGENT AFTER 03/04,Australian Shepherd mix,Female,Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549281  I am described as a female, blue merle Australian Shepherd mix.  The shelter thinks I am about 1 year.  I weigh approximately 48.00 lbs.  I have been at the shelter since Feb 25, 2026 and I may be available for adoption on Mar 04, 2026 at 12:38PM.",https://post.rescueme.org/26-02-26-00034
URGENT AFTER 03/04,Doberman Pinscher mix,Female,Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549282  I am described as a female, black and brown Doberman Pinscher mix.  The shelter thinks I am about 1 year.  I weigh approximately 71.00 lbs.  I have been at the shelter since Feb 25, 2026 and I may be available for adoption on Mar 04, 2026 at 12:40PM.",https://post.rescueme.org/26-02-26-00033
URGENT AFTER 03/04,Belgian Malinois mix,Male,Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"MONSTERA - ID#A549276  Shelter staff named me MONSTERA and I am a neutered male, sable Belgian Malinois mix.  The shelter thinks I am about 10 months old  I weigh approximately 60.80 lbs.  I have been at the shelter since Feb 25, 2026 and I may be available for adoption on Mar 04, 2026 at 11:32AM.",https://post.rescueme.org/26-02-26-00032
URGENT AFTER 03/04,Chihuahua mix,Male,Senior,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"MAX - ID#A549290  Shelter staff named me MAX and I am a male, tan and white Chihuahua - Smooth Coated mix.  The shelter thinks I am about 11 years old.  I weigh approximately 13.60 lbs.  I have been at the shelter since Feb 25, 2026 and I may be available for adoption on Mar 04, 2026 at 2:09PM.",https://post.rescueme.org/26-02-26-00031
URGENT AFTER 03/04,Siberian Husky mix,Male,Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549277  I am described as a male, black and white Siberian Husky mix.  The shelter thinks I am about 1 year and 6 months old.  I weigh approximately 51.00 lbs.  I have been at the shelter since Feb 25, 2026 and I may be available for adoption on Mar 04, 2026 at 11:55AM.",https://post.rescueme.org/26-02-26-00027
Daliah,Shih Tzu,Female,Adult,Los Angeles County,No,Good,Unknown,Good,Average,Submissive,Unknown,Yes,"Daliah is a great companion. She is loving, healthy, happy. She loves to cuddle up and snuggle up with her owner and loves to sleep with her owner. When she is outdoors she must be on a leash or she will run round freely. Daliah is Potty Pad Trained. She does well in an apartment or house.",https://post.rescueme.org/26-02-26-00009
Rocky,Pit Bull,Male,Puppy,Contra Costa County,No,Good,Unknown,Good,High,Submissive,Yes,Yes,"Rocky was abandon by his owner who was living with me 4 months ago i took him to a shelter in walnut creek a few weeks ago and i was told he was gonna get put down because of his energy and because it took 2 people to walk him due to him pulling i couldnt go with that option since i seen him as a small puppy and even took care of him so i took him back and been taking care of him ever since  i walk him everyday and teaching him how not to pull he still in the habit of pulling but hes learning everyday hes a very smart dog that knows how to sit , paw , & lay down. rocky is somewhat good in crates he will go in if you hand him a treat inside and will whine for about 10 minutes until he realizes that its time to sleep and he stops.  he loves to play with other dogs but he upsets smaller dogs due to his size since he runs around them and jumps around but hes never been aggressive towards other dogs once  he is a 80 pound dog that loves tug of war toys i recommend someone healthy that is energetic and likes nature and is active such as doing hikes, running , ect  im willing to schedule a meet up with him so you can meet him in person and see how you like rocky hes a great dog.",https://post.rescueme.org/26-02-26-00005
Wylie,Staffordshire Bull Terrier mix,Male,Young Adult,Los Angeles County,Yes,Good,Unknown,Unknown,Average,Average,Yes,Yes,"��%BD��%BD��%BD��%BD Our friendly WYLIE needs a HERO by Friday!!!  ��%BD%A0You can be that! He will give you all the love you can imagine.��%BD%A0A hiking buddy. A quiet companion. A goofy friend when you need to laugh.��%BD%A0A reason to get up in the morning, and someone to greet you when you get home. ��%BD��%BD%90��%BD��%BD'��%BD%8D��%BD��%BD|��%BD��%BD��%BD%90��%BD��%BD'��%BD%8D��%BD��%BD|��%BDCome on, he's waiting for you!!!��%BD��%BD%90��%BD��%BD'��%BD%8D��%BD��%BD|��%BD��%BD��%BD%90��%BD��%BD'��%BD%8D��%BD��%BD|��%BD                                                                                                                                                                                                Can someone foster WYLIE - even short term, so we have time to find him a home?��%BD��%BDs��%BD��%BD��%BDs��%BDNEEDS FOSTER/ADOPTER by FRIDAY 2/27��%BD��%BDs��%BD��%BD��%BDs��%BD��%BD%A0��%BD%A0��%BD��%BD��%BD��%BDWest Valley will kill him on Saturday, as early as 8 am��%BD��%BD��%BD��%BD For video and pics: https://nextdoor.com/p/FtR3SnrmhQfh?view=detail                                                                                                                                                                                           Wylie is social with other dogs, especially if they are respectful and playful.   Would be great as only dog in a home, but volunteers think he could do well with another dog, if respectful, and with slow introductions.  He is so loving, and playful, and affectionate, tender... and smart!!!!   'Wylie does well with soft and respectful dogs. He doesn't like pushiness or assertiveness. He doesn't need to be an only dog, he just need to be with the right kind of dog for his personality.' --- shelter staff who work with him in playgroups  ��%BD��%BDͻ He super friendly, affectionate and playful. ��%BD��%BDͻ He loves to play, water, toys - anything that you throw his way!  ��%BD��%BDͻHe takes treats gently, and knows 'sit' and 'paw' (shake) ��%BD��%BDͻ Volunteers say he just needs to decompress from the shelter and have quiet and calm to relax in. ��%BD��%BDͻ Young dog - 2 years - a whole life ahead of him!  ��%BD��%BDͻ Do you have space to foster - even for a few months, while we find him his forever home?                   He was adopted by someone without means to take care of him, and returned to the shelter the next day. We need a foster by Friday 5 p.m. Please help and share his story!��%BD%A0 Thank you!",https://post.rescueme.org/26-02-25-00313
Archie,German Shepherd,Male,Young Adult,Fresno County,Yes,Good,Unknown,Good,Average,Average,No,Unknown,"Archie is a very sweet, male German Shepherd with the most beautiful coat. He is great with other dogs and people. He's a big boy that just needs a chance. His mom lost her rental home and now he has limited time to find a foster or home before he ends up at the animal shelter, which will likely result in his euthanasia. Please help this sweet boy get a new lease on life!",https://post.rescueme.org/26-02-25-00312
COLLETTE,Bull Terrier,Female,Young Adult,Riverside County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Weight 43lbs  Collette loves people and to be part of the family. Can be selective with children, so no children.",https://post.rescueme.org/26-02-25-00283
Mor,German Shepherd / Lab,Female,Young Puppy,Riverside County,No,Good,Good,Good,Average,Average,No,Yes,"Mor is a bright, joyful puppy with a playful spirit and so much love to give. She's full of curiosity and personality , always ready for puppy playtime followed by sweet cuddle sessions. While she may be a little shy at first with new people, her friendly nature quickly shines through once she settles in.  Mor is smart, affectionate, and eager to bond with her people. She loves attention and thrives on positive interactions, making her a great fit for a family committed to continuing her training and socialization. With love, consistency, and encouragement, Mor is going to grow into a confident, happy companion.  Est DOB 11/21/25",https://post.rescueme.org/26-02-25-00281
Baker,American Staffordshire Terrier mix,Male,Puppy,Riverside County,No,Good,Unknown,Good,Average,Average,No,Yes,"Baker is the everything you could ask for and more. He is sweet, smart, and already impressing everyone he meets! This well socialized puppy is far beyond his age when it comes to training and manners, and he's only just getting started.  Baker already knows sit, stay, and break, and he's fully house trained, which is no small feat for a puppy! He's currently working on heel, polite leash walking, and crate training, and he approaches learning with enthusiasm and focus. He genuinely enjoys training and thrives on structure, praise, and connection with his people.  Raised around children, Baker absolutely loves kids and does wonderfully with them. He's also fantastic with other dogs and would be thrilled to have a canine companion to play and grow up with. Playtime is one of his favorite parts of the day, especially when it involves toys, he even goes to his toy box to carefully select a new toy, like it's his daily routine.  Baker is affectionate, eager to please, and well rounded, making him an excellent fit for a family ready to continue nurturing his training and confidence. With consistency and love, this bright boy is going to grow into an incredible lifelong companion.  If you're looking for a puppy who already has a strong foundation and a heart full of love, Baker is ready to bake his way right into your forever home.  Est DOB 9/10/25",https://post.rescueme.org/26-02-25-00280
EGGO,Bull Terrier,Male,Young Adult,Riverside County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weight approx 40lbs  Eggo is energetic but not too much. He's playful and always ready for adventure. He can be a bit of an egg head with his unique personality.,https://post.rescueme.org/26-02-25-00279
Lighting,German Shepherd / Lab,Male,Young Puppy,Riverside County,No,Good,Good,Good,Average,Average,No,Yes,"Lightning is quick to steal your heart! This playful, energetic boy loves to romp and explore. He's curious, confident, and always ready for the next adventure. After burning off some energy, he's all about cuddles and companionship. Lightning will do best with an active family excited to help him grow and learn.  Est DOB 12/17/25",https://post.rescueme.org/26-02-25-00277
Frosty,German Shepherd / Lab,Male,Young Puppy,Riverside County,No,Good,Good,Good,Average,Average,No,Yes,"Frosty may have the chilliest name, but he's pure sweetness. This affectionate, playful pup loves being around people and joining in on the fun. He's curious, loving, and eager to learn. Frosty will flourish in a home committed to helping him grow into a confident, well rounded dog.  Est DOB 12/17/25",https://post.rescueme.org/26-02-25-00276
Rhys,Lab / German Shepherd,Male,Young Puppy,Riverside County,No,Good,Good,Good,Average,Average,No,Yes,"Rhys is confident, charming, and naturally curious... a puppy who already carries himself like a leader. He loves exploring his surroundings, playing with his siblings, and soaking up attention from his people. Rhys is affectionate, smart, and eager to learn, making him a wonderful companion for an active family ready for adventure and lifelong bonding.  Est DOB 11/21/25",https://post.rescueme.org/26-02-25-00275
Erica,German Shepherd / Lab,Female,Young Puppy,Riverside County,No,Good,Good,Good,Average,Average,No,Yes,"Erica is a confident, spunky shepherd mix puppy full of personality and charm. She's outgoing, playful, and always ready to explore the world around her. Erica adores people, gets along wonderfully with other dogs, and does well with cats too. She's smart, curious, and will thrive in a home committed to continuing her training and socialization. Erica is sure to bring laughter, energy, and lots of love to her future family.  Est DOB 10/17/25",https://post.rescueme.org/26-02-25-00272
Osage,Anatolian Shepherd,Male,Young Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,No,No,Beautiful blue eyed babies need homes urgent. Aussie sheps w/ genuis instincts. Caring cuddly everything you could want plus!! Please reach out asap!! Sharlene Sullivan  917 863 9282 ,https://post.rescueme.org/26-02-25-00269
Diego,German Shepherd mix,Male,Puppy,Riverside County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Diego is a 1 year old Shepherd mix weighing about 45 pounds and fully grown. He may be a little shy when you first meet him, but once he warms up, his sweet and gentle personality really shines. He's a thoughtful boy who bonds well and enjoys being around people he trusts.  Diego does great with other dogs and would be happy having a canine companion. He is crate trained and has been working closely with a trainer to build confidence and manners. Recently, Diego went on his very first public outing and did wonderfully! He bravely explored near a mall and the beautiful Lake Harveston in Temecula, CA, enjoyed people watching, and learned how to walk politely on leash. He truly loves his walks and being out and about once he feels comfortable.  During meals, Diego can be a little snarky around his food bowl with other dogs around, but this behavior is easily corrected with guidance and structure, and he continues to make great progress with training. With that in mind, perhaps no young children who don't yet understand boundaries and giving any type of pet space while they're eating (just to be safe!). He loves people but kids can be kids!  Diego would thrive in a home that offers patience, consistency, and continued positive training. With the right family, he'll continue to grow into a confident, loyal companion who enjoys walks, adventures, and quiet time just as much.  Est DOB 1/1/25",https://post.rescueme.org/26-02-25-00266
Lighting McQueen,Pit Bull mix,Male,Young Adult,Riverside County,No,Good,Good,Good,Average,Average,Yes,Yes,"Lighting McQUeen is a 1 year old (Est DOB 08/05/23) and weighs about 60 lbs. He's a super sweet boy who is going to bring someone so much love and joy. With that said, he can be a bit shy at first and will need a family to show him a kind hand and that everything will be okay! He's great with other dogs - big and small. He loves to play and he enjoys chewing on his toys and bones. He's cat friendly. He is completely crate trained. He's a smart boy who will be fun to train!",https://post.rescueme.org/26-02-25-00263
Doc Hudson,Pit Bull mix,Male,Young Adult,Riverside County,No,Good,Good,Unknown,Average,Average,Yes,Unknown,"Doc is 1 year old (Est DOB 08/05/23) and weighs about 60 lbs. He's a super sweet boy who is going to bring someone so much love and joy. With that said, he can be a bit shy at first and will need a family to show him a kind hand and that everything will be okay! He's great with other dogs - big and small. He loves to play and he enjoys chewing on his toys and bones. He's cat friendly. He is completely crate trained. He's a smart boy who will be fun to train!",https://post.rescueme.org/26-02-25-00260
Wiley,Australian Shepherd / Australian Cattle Dog,Male,Young Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,No,No,Sweetheart of a pup plus similar litter like him! Best companion smart attentive loyal affectionate natural service dog! Please need forever families so these pups like Wiley can give the world the greatness that they are! Contact  me anytime: Sharlene Sullivan  917 863 9282 ,https://post.rescueme.org/26-02-25-00257
Oakley,Lab mix,Female,Puppy,Riverside County,No,Good,Unknown,Good,Low,Average,Yes,Yes,"Oakley is the kind of dog who makes you believe in second chances, slow mornings, and the power of snuggles. She's 55 pounds of pure love with a jawline that says, 'I'm one in a million' (literally). Thanks to a quirky little crooked lower jaw (probably from birth), her tongue tends to hang out like it's on vacation. It doesn't slow her down one bit, it just makes her 10x more photogenic.  Oakley has already mastered the fine art of being the perfect couch potato. She's gentle, low-key, and would happily binge-watch an entire season of your favorite show without complaint, as long as she can be the little spoon.  Oakley enjoys casual strolls, sniffing the breeze, and pondering life under a shady tree. She's not trying to climb mountains, she's trying to climb into your lap. She's also great with other dogs, sweet with kids, and has manners that would make your grandma proud (yes, she's house trained and crate trained!).  Est DOB 1/28/24",https://post.rescueme.org/26-02-25-00256
Osita,Pit Bull mix,Female,Young Adult,Riverside County,No,Good,Good,Not Good,Average,Average,Yes,Yes,"Osita is a 5 year old, 55 lb Pit Bull mix with a big heart and a very healthy respect for personal space.  Let's talk about 'bubbles' for a second...You know, personal space. The kind we all appreciate.  Osita feels the same way.  She is not reactive and can calmly pass other dogs on walks or while out and about, but she does not want to share her home or her personal space with other animals. No small dogs, no big dogs, no cats, and no critters. And honestly? That's okay. Some of us prefer a quiet, peaceful home too.  What Osita does love is people. She adores attention, enjoys meeting new humans, and is friendly with anyone she crosses paths with, even if they're outside her 'bubble.' (meaning strangers). She's affectionate without being overwhelming and has strong cat-energy in the best way: independent, observant, and deeply loyal to her people...though if a stranger has a yummy treat in hand then she will be loyal to them!  Kids, however, are just too much for her. They're loud, unpredictable, and don't always understand boundaries. So Osita is looking for an adult-only home where things stay calm and respectful.  No, she is certainly not for everyone, but she is perfect for someone. She's an absolute dream for the right lifestyle. Osita loves walks, hikes, car rides, outings, and lunch dates. She's confident in public and makes an excellent adventure buddy. She do",https://post.rescueme.org/26-02-25-00255
Lola Jane,Dutch Shepherd mix,Female,Puppy,Riverside County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Lola Jane is a gorgeous 40 lb Dutch Shepherd mix with a gentle heart, and soulful eyes. She struts a beautiul brindle coat and those ears can hear you call her a good girl from a mile away. She's a little shy when meeting new people, but once she feels safe, her sweet and loving nature shines through.  Lola Jane adores other dogs and is learning that the world isn't such a scary place after all. She's blossoming more every day, showing her playful side and enjoying her walks as she gains confidence.  If you're looking for a kind, loyal companion who just needs a little patience and a lot of love, Lola Jane is the perfect match.  Est DOB 1/1/25",https://post.rescueme.org/26-02-25-00252
Lucy Goosey,German Shepherd mix,Female,Puppy,Riverside County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Lucy Goosey is the sweetest little Shepherd mix with a heart full of love! She might be a bit shy at first, but once she warms up, her gentle, affectionate personality shines through.  Lucy is doing wonderfully with her leash training and loves spending time with her doggy friends. She's playful, kind, and learning that the world is a pretty fun (and safe!) place to explore.  If you're looking for a loving companion who just needs a little patience and a lot of snuggles, Lucy Goosey is your girl!  Est DOB 1/1/25",https://post.rescueme.org/26-02-25-00251
Hazel Mae,American Staffordshire Terrier mix,Female,Puppy,Riverside County,No,Good,Unknown,Good,Average,Submissive,Yes,Yes,"Hazel is may be a shy girl in the streets but she's certainly a certified boober at home! Hazel is a delicate little soul with two very distinct personalities... and both are absolutely SO sweet!  Personality #1: When Hazel first meets new people, she's very, very shy. On outings, she's calm, quiet, and perfectly content to blend into the background. She's not here to steal the spotlight and she's happy to go unnoticed, observe the world softly, and mind her own business like a tiny introvert queen.  Personality #2 though... Goober: Level 100! Once Hazel feels safe and comfortable? Oh boy. At home, she transforms into a playful, silly, affectionate little goober girl. She loves cuddling on the couch, soaking up sunshine in the yard, and watching butterflies glide by like it's her favorite TV show. She'll make you laugh, melt into you for snuggles, and remind you just how special it is to earn a shy dog's trust.  Hazel is also house trained, crate trained (does great for a few hours at a time), a professional cuddler once she knows you, and a total doll with the right patience and love  Hazel isn't a 'love at first sight' kind of girl but she's a love that grows deeper every day. If you're willing to give her a little time and grace at the beginning, she'll reward you with endless affection, quiet loyalty, and top-tier goober energy once she's home.  If you've ever wanted to be someone's safe place, Hazel might just be your girl.  Hazel is 1 year old and weighs about 45 lbs!",https://post.rescueme.org/26-02-25-00250
Pookie Bear,Jindo mix,Male,Young Adult,Riverside County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Pookie Bear (or just Pookie) is a 3 year old sweetheart who is AMAZING with people, kids, and other dogs. He's the definition of a gentle, social, lovable companion who wants nothing more than to be part of a family.  Despite his big, cuddly name, Pookie is all softness and charm. He greets everyone with a happy spirit, a wagging tail, and the kind of sweetness that melts your heart instantly. He's currently working on his leash training and doing great! He's eager to learn, eager to please, and always trying his best.  If you're looking for a kind, friendly, loving dog who fits beautifully into just about any home, Pookie Bear is your guy. He's ready to bring joy, snuggles, and warm fuzzy feelings to his forever family.",https://post.rescueme.org/26-02-25-00248
Ruby,Australian Cattle Dog mix,Female,Adult,Riverside County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Ruby may be 9 years young, but you'd truly never know it. She's full of pep, joy, and sweetness. She knows her basic commands and is doing great learning to walk calmly on leash, proving that age is just a number. Ruby enjoys playing with other dogs (even the big ones) and absolutely adores snuggle time. She's only 44 lbs and is just as happy curling up next to you as she is relaxing in her own bed when she wants a little space.  Ruby sleeps peacefully through the night in her crate and is comfortable spending a few hours there during the day. She loves lounging in the backyard, soaking up the sunshine, and enjoys a good treat (or two!). True to her years, she has excellent house manners and doesn't chew on things she shouldn't.  Whoever is lucky enough to adopt Ruby will truly be hitting the jackpot. She's affectionate, easygoing, and ready to bring so much love into her forever home.",https://post.rescueme.org/26-02-25-00246
